what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1331580697262
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1331580697274
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1331580697274
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1331580697375
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1331580697388
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1331580697436
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1331580697836
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1331580697878
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1331580697936
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1331580697966
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1331580698060
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1331580698084
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1331580698093
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1331580698122
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1331580698133
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1331580698142
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1331580698153
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1331580698163
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1331580698163
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1331580698163
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1331580698163
os,sysinfo,,,"win32",1331580698165
arch,sysinfo,,,"x86",1331580698165
ws,sysinfo,,,"win32",1331580698165
locale,sysinfo,,,"en_US",1331580698165
processors,sysinfo,,,"4",1331580698165
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331580698165
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1331580698165
java.specification.name,sysinfo,,,"Java Platform API Specification",1331580698165
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331580698165
java.specification.version,sysinfo,,,"1.6",1331580698165
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331580698165
java.version,sysinfo,,,"1.6.0_23",1331580698165
java.vm.info,sysinfo,,,"mixed mode, sharing",1331580698165
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331580698165
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331580698165
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331580698165
java.vm.specification.version,sysinfo,,,"1.0",1331580698165
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331580698165
java.vm.version,sysinfo,,,"19.0-b09",1331580698165
activated,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1331580700115
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1331580700180
closed,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1331580700199
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331580701381
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1331580701395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580707421
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1331580791551
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1331580791707
error,log,,,"Failed to load properties file for project 'MessageSearch'",1331580792147
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1331580792287
